icon,homepage,ID,comment_link,time,comment,like
https://yt3.ggpht.com/ytc/AIdro_m3GQtp3pW40iP-YmLLOCgBH5t15SEBmioH_cT3a4XXpw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@liujesse1828,@liujesse1828,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxuGR691aVs_zJFinh4AaABAg,2天前,"Hey Speed,

I’m from China, and for the past two weeks, the most talked-about topic on the Chinese internet has been you. Previously, most people here didn’t know you, but now, many more do—welcome to China!

Many people, including myself, sincerely suggest that you find a more reliable translator. Seriously, the translators you've had so far have significantly lowered the professionalism of your team.

For example, the translator in Beijing—when you went for a haircut. The barber genuinely wanted to serve you, but they might not have had experience with your hairstyle and were concerned that cutting it might make it difficult to restore your braids. They were thinking in your best interest. However, the translator absurdly said that they found your hair dirty and messy. My goodness, that was a disaster.

Another example is the female translator at the Shaolin Temple in Henan. Your Shifu didn’t want to accept your payment because you connected through martial arts. He even told you in English, so you should have understood. But considering your enthusiasm, he added that if you insisted on giving something, you could buy some snacks for the children. His emotional intelligence was incredibly high—his last sentence both preserved your dignity and created a great opportunity for goodwill.

Yet, that female translator told you that you didn’t need to pay because the government had already covered the cost…

Honestly, honestly, honestly—so many of us watching were beyond frustrated. We sincerely, sincerely, sincerely urge you: please, please, please find a reliable translator.",103
https://yt3.ggpht.com/XX0YrewVNMrtThRAraa5JJSpVtjIF6vgu9j9Eoy6D2daZsE2zhb0iXHgB1zl7WLjU6fm1olg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@DIY-Engine-Experts,@DIY-Engine-Experts,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwiARVzTF_nkYT92tl4AaABAg&pp=0gcJCSMANpG00pGi,4天前,"Damn China have beautiful Cities and Good People, Best Citys in the world!!!",1277
https://yt3.ggpht.com/ZoLMXzd3kphVadQULz1ADTAIfQIdusEWPnY-6z4iphiyoZyPGaKPsIbS2JR823PUifS50GCAv1E=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@KINGKWESI,@KINGKWESI,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw-g6H3uwtvgPSgI0R4AaABAg,7天前,"IT'S AMAZING TO SEE SPEED EXPERIENCE CHINA'S HOSPITALITY. 
CHEERS.",1609
,https://www.youtube.com/@JayLiu-o9q,@JayLiu-o9q,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzNJtQSgkAcIS5icbJ4AaABAg,7天前,I didn’t have a concept of how fast China’s internet is until I got to UK.,839
,https://www.youtube.com/@worldmatters7384,@worldmatters7384,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwghDTNsgqSGzSc2Th4AaABAg,7天前,"Decades of propaganda 
Speed's One Stream",3058
,https://www.youtube.com/@jayhi88,@jayhi88,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugy0wCjlPBAKlqanP5t4AaABAg,4天前,我為我的祖國中國感到無比的光榮與驕傲，我是台灣人更是一個驕傲的中國人。衷心的期盼兩岸趕快統一台灣回歸祖國!!!,349
,https://www.youtube.com/@%E5%AE%89%E6%8E%92%E7%8E%8B,@安排王,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugyy3N7XxTQbpoNm7jN4AaABAg,7天前,"Chinese people are not racially discriminatory. We love playful memes and slang, but never with offensive intent.
In everyday Mandarin, especially in Beijing, the word ‘那个’ (pronounced ‘nèi ge’) is one of the most common filler phrases, similar to saying ‘um’ or ‘that thing’ in English. For example:

‘Wait, I need… nèi ge… my phone!’

‘Where’s nèi ge… the remote control?’

However, due to its phonetic similarity to a certain English slur, Chinese netizens sometimes joke about it in lighthearted memes or puns. This is purely cultural wordplay and never meant to offend. We’re just having fun with language quirks!

Chinese humor often embraces linguistic coincidences, but we deeply respect all cultures and communities. If non-Chinese speakers misunderstand, we’re happy to clarify!""",2951
,https://www.youtube.com/@eastwest3639,@eastwest3639,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxTh-h1wFNp9fdwNK94AaABAg,3天前,The translator lied.  The hairdresser said "It was not easy to cut".  He did not say "Raggedy" at all !,194
,https://www.youtube.com/@yovenny1989,@yovenny1989,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgybqwsM0bsI5aeM7aR4AaABAg&pp=0gcJCSMANpG00pGi,6天前,"Speed was somewhat unlucky to encounter a sandstorm, even though Beijing was quite sunny just yesterday. I’m not saying that Mongolia is hateful, but China has put in great effort to mitigate this issue. Yet, when China offers help, it gets criticized, while fires are constantly being set near the border. They simply don’t have the capability to control desertification, and sometimes the situation gets serious. Then Japan even blames China for the yellow dust, honestly, it’s just incomprehensible.",740
,https://www.youtube.com/@symonswang5534,@symonswang5534,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyG0ZwhRWV1RNR2egF4AaABAg,5天前,"I‘m Chinese. 
I strongly welcome Speed to travel to Xinjiang and show the real Xinjiang to the world! 
It would be best to travel between May and September, as that's when Xinjiang's scenery is at its most beautiful. It's currently the end of March, so it's still a bit cold.",320
https://yt3.ggpht.com/ar1i9SPYgatOrgVfbdr4Rczi2Xm-H5d0Z2EgkvuvosycKbHYu6PpCMlFog7Zy5KKMuYY3iJ6=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Lexiiichen,@Lexiiichen,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw5w6NabpbWwPEPgnZ4AaABAg,7天前,"To be honest, as the political center of China, Beijing isn't the most streamer-friendly city due to security and public order considerations. But if you ever get the chance to explore Beijing's authentic local life - those hidden alleyway eateries, the street vendors flipping jianbing at dawn, the old-timers playing chess in hutong courtyards - you'd absolutely fall in love with this city. The real Beijing magic happens off-camera, in the sizzle of lamb skewers on a winter night or the fragrant steam of freshly brewed jasmine tea.
Psst... Many local creators now capture this vibe through carefully curated vlogs - a smart workaround that keeps things compliant while showing the city's true character.",1103
https://yt3.ggpht.com/ytc/AIdro_lgw9Z4EHCKHd__Go6vcIxuMMBk2jF3WiMF5ieR_ie1wQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@martjay,@martjay,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgytSv_uaGgSLPqdo0p4AaABAg,6天前,"I think the bodyguard seems to be really eager to do his job well, but that doesn't mean his behavior isn't reckless. However, he has ignored the basic etiquette in China. Firstly, it is indeed inappropriate to speak loudly in public places, including in a vehicle. This applies whether it's a big Chinese celebrity or a Chinese government official. Secondly, it's really not right to gather a crowd or ask other tourists to move aside on the Great Wall. Many people are not fans of Speed, and they won't harm Speed either. It's very difficult to find a Chinese person in China who would randomly attack passersby. Other tourists are just living their own lives. If you, Speed, are also reading this comment, you need to understand some of the basic etiquette of the Chinese people so that more Chinese audiences will like you, and don't exhibit impolite behavior. I don't mean to be offensive when I say this, but it's just that the culture in China is indeed a bit different from that in the United States.",527
https://yt3.ggpht.com/ytc/AIdro_l53RpcIdU9icfSTkBsdHdEclubWDywKG7ITpBXD6RSU2w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@luigihatesyou4217,@luigihatesyou4217,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugyl7CLztrJwrk4bU3J4AaABAg,7天前（修改过）,"The fact that China and India are so close, but the level and quality of the infrastructure and the cleanliness is so far apart",1244
https://yt3.ggpht.com/-Fvq-o32djzeVzH2jSFwXuyLaPADW8hd2p9r-99Jgz2PBg2diJIvSVd6v4V6X6uPRzXOy2LR7g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@PetuniaTheBlueSkunk,@PetuniaTheBlueSkunk,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw4U0Z8pnhh2DZB4zx4AaABAg,4天前（修改过）,2:35:33 aww thatt girll being so sweet and kind and softspoken who really wanted to see speed was the most heartwarming ever. she just wanted to take a photo but speed seems to cant focus well and she got pushed by the guards and never get a picture.  she was so patient.,226
https://yt3.ggpht.com/ytc/AIdro_koEH2OR2VVKPFY1-ZuMhduBDlhJAqLLwFNtkhUYIwIdQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@orymoos8810,@orymoos8810,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugz761cxm19qjJVcRkt4AaABAg,7天前,活该甲亢哥红，有情商，会整活，懂分寸，体力好,826
https://yt3.ggpht.com/_1XGBTlaMUajaImrORXDoHroTebPPFwSMJCYvffoPDe-3zk1tCsxKt4q8jWlDmpjbODpdqKR=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ianeydoescrap5048,@ianeydoescrap5048,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxNvDXemCDBVa_uw-F4AaABAg,7天前,I’m glad people outside of china get to see it without the lens of politics,681
,https://www.youtube.com/@BigOrangeMan,@BigOrangeMan,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugwqna4ZbpIvKuQj0YR4AaABAg,7天前（修改过）,"Next time please tell your two bodyguards to stop pushing people. Remember you're the tourists here and its their country.  Also note that if you people get in trouble not even US embassy gonna save your american ass okay.

edit- Im not talking about zombies, Im talking about local people that minding their own business, shouting them ""move out the way"" because some popular American influencer is coming, is not fair right? Please learn to respect them and their personal space if youre visiting their country.",1279
,https://www.youtube.com/@weicai9526,@weicai9526,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugz-rIxmn5_F-jqediZ4AaABAg,3天前,"Oh my goodness that male translator is just so rude! I believe he intentionally translated people’s good intention into bad intentions. When Speed asked why the “糖葫芦” is sour, he can just tell him that it’s made of hawthorn so it’s supposed to be sour. Instead he told the fan that “speed said you selected the most sour one for him”. Wtf is he trying to do",33
,https://www.youtube.com/@Timadethis1,@Timadethis1,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxPtTekE8bL0fIDcvd4AaABAg,7天前（修改过）,"W 6 hour stream!!!! 

 genuinely one of best irl visits so far. It's also cool speed  did try different food etc.  The great wall was quite the experience️...  

 Looking forward to the rest of trip",391
,https://www.youtube.com/@%E5%B0%B9%E7%99%BD%E5%A4%9C,@尹白夜,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxqWQhbxY0KY7YVsrB4AaABAg,7天前,他才不到20岁，就有如此智慧的情商和节目效果以及分寸感，真是惊人,589
,https://www.youtube.com/@lovesoymilk9729,@lovesoymilk9729,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxcNlX2Y4zW-LDLQlN4AaABAg,7天前（修改过）,"As a Chinese I also surprised by the internet coverage, it got good coverage 7 years ago already but still did not cover every rural area. Right now it's cover almost everywhere except no man's zone. Crazy.",894
,https://www.youtube.com/@godarthur6566,@godarthur6566,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyIaqQwMA0uhgtLPhp4AaABAg,3天前,"别的评论区复制的
看了6小时完整版的都知道 李美越在直播过程中说的话有多离谱 我直接课代表吧
1.在包车上问甲亢需不需要给他找一个中国chick（女人、妞儿），甲亢确实有情商 说nonono然后转话题
2.在甲亢旁边说 你不觉得你的这些粉丝很wired吗
3.甲亢进了个理发店 店员说处理不了他的脏辫头发 李却翻译说他们觉得甲亢头发脏，曲解意思",67
,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyJ197i7XBo5Ff2DVB4AaABAg,7天前,"6 hours of live stream? Speed has never had such a long live stream in any country before. I admire China's technology and internet, and Chinese speed fans were very respectful.

W China 🇨🇳
W Chinese fans",954
,https://www.youtube.com/@yanglan1762,@yanglan1762,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugy6pw9J-lq1FEikiP94AaABAg,7天前,"Just got to know this man. He is so respectful and sincere to the people around him. There is a reason for his success. Welcome to China, thanks for the joy and fun you bring us! 🇨🇳🇨🇳W speed!!!",455
,https://www.youtube.com/@PianoPrinceOfAnime,@PianoPrinceOfAnime,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw7YDk71Ar4tY7k7V14AaABAg,5天前,Awww the tour guide woman was so cute and wholesome!!!,93
,https://www.youtube.com/@Baisers11,@Baisers11,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwQP5OJXoxGNyGvL0Z4AaABAg,4天前,The suit guy is low-key hating on speed.,82
,https://www.youtube.com/@diablooofx,@diablooofx,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw0sEnghAeNoWvGStF4AaABAg,5天前,"Chinese people are friendly,humble one day I’ll visit china for sure 
love china🇨🇳 from nepal🇳🇵",94
,https://www.youtube.com/@%E7%A9%BF%E8%B6%8A%E6%97%B6%E7%A9%BA%E7%9A%84%E7%8C%AB,@穿越时空的猫,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzEobQh_pevrmgrr_V4AaABAg,7天前,speed拥有积极的心态，他善意的对待这个世界，所有世界也会善意的对待他,305
,https://www.youtube.com/@LOTM.Lore.Keepers,@LOTM.Lore.Keepers,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwKM8idXV2M6dLr4XV4AaABAg,7天前,"I’m not Chinese, but so far, Chinese IRL is the best I’ve ever experienced. The speed is incredible and exhilarating. It’s only been two days, but it’s already an 11/10.",639
,https://www.youtube.com/@%E7%8E%8B%E5%BA%86%E7%A7%91,@王庆科,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwaGk32DY7l1RwWhwd4AaABAg,5小时前,"Speed, the barber didn't say your hair was dirty, that man's translation was wrong!",2
https://yt3.ggpht.com/ytc/AIdro_mLrdnjh_N5B44xnca3KuO3isie2p9rbqTISf4_OaCDDEyPklScQkM-OYTfcVeDcZwHAg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@zhiyiyang-ri3xs,@zhiyiyang-ri3xs,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxUJsH-teqE0Ck7L6t4AaABAg,7天前,The sandstorms in Beijing are now basically blown over from Mongolia. China's environmental governance has been very effective.,292
https://yt3.ggpht.com/ytc/AIdro_n1g7IaWAd5TFCu_OtFU5lURZn7xy_CphxxGsD-tEg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@deenzjay1558,@deenzjay1558,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwAL0OoqsT2MN-jDaR4AaABAg,7天前,China has been one of the best streams! The Chinese people are so respectful and always happy,468
https://yt3.ggpht.com/K1a4OC4kUXFjFGBzRlA32CXm79E-C3ccoqlDNXucvh0qXeiI1N99WaY7jW2dYa9nILJUfv3O=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Ayyuu888,@Ayyuu888,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwQgCt_DYh2VNuE29J4AaABAg,7天前,"I used to have negative image about china
But after this stream 
My whole perception about china has changed from negative to too positive",682
,https://www.youtube.com/@LTS2DO,@LTS2DO,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyNpeo5DOPUfZyYaCJ4AaABAg,4天前,"I'm Chinese. I sincerely hope you could go to Xinjiang and do a live broadcast for a few hours, showing the people and scenery there in real time—completely raw and unfiltered. Media reports are always edited, loaded with commentators' biases, and layered with visual or narrative filters",4
,https://www.youtube.com/@ragnarokws2670,@ragnarokws2670,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgznXb7qu9rL4hGLjBV4AaABAg,7天前,Bro China internet is the best now Didnt even lag when enter tunnels wtf,611
,https://www.youtube.com/@coco_king3d,@coco_king3d,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyHhtw16hi7R_OJyDB4AaABAg,7天前,The dude that bought Speed KFC all the way to The Great Wall of China…….   Big respect 🫡,910
,https://www.youtube.com/@YXBOLTZ,@YXBOLTZ,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzB892QYz1Od4TNUnd4AaABAg,7天前,"Speeds streams when going to different countries: 3-4 hours

Speed streams in china: 6+ hours",779
,https://www.youtube.com/@yandeng6454,@yandeng6454,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugzy48Z57AE1sW4NCJB4AaABAg,4天前,"Bor,There are no guns, no drugs, no gangs in China, and you don't need guards",6
,https://www.youtube.com/@st.altair4936,@st.altair4936,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugz46FviBsosxRnC27N4AaABAg,6天前,"Like that guy said, y'all should visit Xinjiang next. Show people what it's actually like outside western media.",533
,https://www.youtube.com/@xiaotao-nq4kz,@xiaotao-nq4kz,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzxE5hs1cEaeZLdn-R4AaABAg,6天前,我就是一个普通的中国人，我喜欢我的国家，他肯定也有这样那样的问题，我们只是希望慢慢改善，我希望世界和平不要有战争，大家做生意不要打仗,201
,https://www.youtube.com/@IMPOSINGMEDICINE,@IMPOSINGMEDICINE,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugwbx-oqoZ9llosvvMh4AaABAg,7天前,I study in china and i feel china is one amazing country to be in,383
,https://www.youtube.com/@kapk,@kapk,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugxbvygs9G20UTRtHkR4AaABAg&pp=0gcJCSMANpG00pGi,4天前,"Funny how viewers seem to think none of the special guests were planned - the marriage market peeps in the last one, and flower suit guy in this one.",3
,https://www.youtube.com/@SleepyAlexO_o,@SleepyAlexO_o,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugxz3jV84ToJu9I_3Ad4AaABAg,7天前,"about dat naege song:its called “阳光彩虹小白马（sunshine rainbow little white pony)”,in China when we say “that”, we say “那个(nàge)”or “内个(neige)”, basically the singer is singing “you are that that that that” this is a song for children",134
,https://www.youtube.com/@Retronyx,@Retronyx,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwPo031mO-y57zV90F4AaABAg,7天前,only China stream never lag unlike other countries  this is the future of technology,1296
,https://www.youtube.com/@synthtears,@synthtears,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxKsUMBY-wzUQc5ztV4AaABAg,5天前,Imagine telling your history teacher that the first backflip on the Great Wall was done by iShowSpeed,122
,https://www.youtube.com/@%E5%BC%B5%E4%B8%80%E4%B8%80-k2c,@張一一-k2c,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxFdNvGQnGtc-CHirx4AaABAg,5天前,"中国，没有毒品，没有枪支，没有黑帮，没有种族歧视，没有意识形态冲突，极低的暴力犯罪率。
中国，有美食，有一定程度的言论自由，有较低的物价，有友善的人民，有统一的市场，有高超的科学技术。
欢迎世界各国人民认识，了解中国。并尽可能的近距离观察，体验现在的中国。",68
,https://www.youtube.com/@DaZhangWeiSpeed,@DaZhangWeiSpeed,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugyev8Bjw9ptAps6IvV4AaABAg,7天前,Most comfortable work for the bodyguard in china,1577
,https://www.youtube.com/@Laker123abc,@Laker123abc,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwXJRGVJgaC7Eu24M14AaABAg,6天前,Not a single homeless person on the street! Not a single piece of trash on the street! Amazing country!,188
,https://www.youtube.com/@balddudey321,@balddudey321,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwXXRDrT8XwiZ1lcyd4AaABAg,5天前,"""I will not be finishing the stream until we walk the whole Great Wall of China.""
That wall is HORRENDOUSLY long bruh",101
,https://www.youtube.com/@itloads,@itloads,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw6Tt3VDrc-HwXtsnZ4AaABAg,1天前（修改过）,Miles Moretti in the red suit literally gives Speed the worst advice the entire time. Miles let the man be a streamer and get out of his way. Gate keeping Speeds success.,3
https://yt3.ggpht.com/pg7z7QzVVNmehzx4X_DSWQCc2Uhpo_e8vExlyEtNkJwVxq5U4E9LCCaTe93XRmpN7YVVztLTnw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@qzha8476,@qzha8476,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyDeby0vaYEZZlkRmx4AaABAg,6天前,Politicians' propaganda can never stop communication between people,170
https://yt3.ggpht.com/ytc/AIdro_mIq3VHfPUrGhS9seKsJqeGzc2vC6doz0-nM2OENLkRxafGhMnaFzOjB0stCwcIPBngbw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@anderson_vogel0,@anderson_vogel0,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzIpJTg8VM6rLVZPF14AaABAg,7天前,"I love how the internet didnt lag at all in the tunnel train, Chinas internet is just soooo good, loved this stream except for when he was doing backflips near too many people but W stream keep it up speed",309
https://yt3.ggpht.com/ytc/AIdro_k_1ZFl-QWcOmWz_rrQJdkIY7zd7ZwJCq6Sts8rrm_gJQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Bond.007.,@Bond.007.,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxyiV-t5Qbg1putVnN4AaABAg,6天前,"4:19:39 I also feel bad when the security lady thought Speed told her don’t speak Chinese but he was talking to his bodyguard Henry and said to him bro you don’t speak Chinese, she then said oh im so sorry my english is a little. Man I felt so bad if y’all noticed that.",48
,https://www.youtube.com/@lucaslaw9488,@lucaslaw9488,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgztwdllOx4TrnrxxNp4AaABAg,1天前,That translator guy in red suits was messing up with you on purpose. He twisted what people really means many times. Don’t ever trust him.,6
,https://www.youtube.com/@%E8%B5%B5%E5%8C%97%E8%BE%B0-s7w,@赵北辰-s7w,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzlhWnueZlW2NsQ1dt4AaABAg,6天前,"Dear friends all over the world! This is the real China: full of beauty, harmony, cleanliness, safety and convenience! Don't be fooled by the media and fake news with ulterior motives. Beijing and Shanghai are just two of thousands of Chinese cities, and each city has its own unique characteristics! Thank you, speed! Long live the unity of the people of the world!!",269
,https://www.youtube.com/@StreamerTea,@StreamerTea,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyWxzaur2U3nOH0K7t4AaABAg,7天前,"We all need to give Slipz some appreciation. It's hardwork to not only be managing speed, but to be his cameraman and to follow through with all his antics and still maintain composure. W Slipz",215
,https://www.youtube.com/@%E9%9D%99%E7%86%99%E8%80%B6,@静熙耶,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxYhZ0u5RpnYSUypcd4AaABAg,7天前,"The sandstorm blowing from the northwest today has made Beijing gray, while yesterday it was still blue sky and white clouds",181
,https://www.youtube.com/@NarendraKejriwal-e8g,@NarendraKejriwal-e8g,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwAxGekCbel9DL5LKl4AaABAg,4天前,The difference between the Internet connectivity of Speed’s stream in India v China is staggering.,5
